billId,itemId,name,qty,rate,gstPercent,taxableAmt,cgst,sgst,igst,lineTotal
B028,I016,Whiteboard Marker (Pack of 4),1,80.00,12.0,80.00,0.00,0.00,9.60,89.60
B028,I009,Bluetooth Speaker,2,1499.00,18.0,2998.00,0.00,0.00,539.64,3537.64
B029,I009,Bluetooth Speaker,2,1499.00,18.0,2998.00,0.00,0.00,539.64,3537.64
B029,I001,Wireless Mouse,2,499.00,18.0,998.00,0.00,0.00,179.64,1177.64
B030,I007,Basmati Rice 5kg,4,550.00,5.0,2200.00,0.00,0.00,110.00,2310.00
B031,I012,Face Mask (Box of 50),3,199.00,5.0,597.00,14.93,14.93,0.00,626.86
B031,I007,Basmati Rice 5kg,3,550.00,5.0,1650.00,41.25,41.25,0.00,1732.50
B031,I010,Office Chair,4,4999.00,18.0,19996.00,1799.64,1799.64,0.00,23595.28
B032,I013,Hand Sanitizer 500ml,5,150.00,18.0,750.00,0.00,0.00,135.00,885.00
B032,I017,External Hard Disk 1TB,3,3499.00,18.0,10497.00,0.00,0.00,1889.46,12386.46
B033,I012,Face Mask (Box of 50),2,199.00,5.0,398.00,0.00,0.00,19.90,417.90
B033,I020,File Folder (Pack of 5),5,150.00,12.0,750.00,0.00,0.00,90.00,840.00
B033,I004,Ballpoint Pen (Pack of 10),3,120.00,12.0,360.00,0.00,0.00,43.20,403.20
B034,I011,Printer Paper A4 (Ream),2,280.00,12.0,560.00,0.00,0.00,67.20,627.20
B034,I004,Ballpoint Pen (Pack of 10),3,120.00,12.0,360.00,0.00,0.00,43.20,403.20
B034,I010,Office Chair,5,4999.00,18.0,24995.00,0.00,0.00,4499.10,29494.10
B035,I005,LED Bulb 9W,5,90.00,12.0,450.00,0.00,0.00,54.00,504.00
B035,I018,Ceramic Coffee Mug,4,149.00,12.0,596.00,0.00,0.00,71.52,667.52
B035,I006,Cotton T-Shirt,2,349.00,5.0,698.00,0.00,0.00,34.90,732.90
B036,I006,Cotton T-Shirt,3,349.00,5.0,1047.00,0.00,0.00,52.35,1099.35
B037,I020,File Folder (Pack of 5),4,150.00,12.0,600.00,0.00,0.00,72.00,672.00
B037,I005,LED Bulb 9W,1,90.00,12.0,90.00,0.00,0.00,10.80,100.80
B037,I001,Wireless Mouse,2,499.00,18.0,998.00,0.00,0.00,179.64,1177.64
